image_name,efficientnet-b7-K-1,efficientnet-b7-K-2,efficientnet-b7-K-3,iternet-K-1,iternet-K-2,residual_attention-K-1,residual_attention-K-2,residual_attention-K-3,target,prediction
ISIC_1259230,0.2372688502073288,0.5128222107887268,0.5111897587776184,0.4081113636493683,0.43887507915496826,0.538827657699585,0.5133975744247437,0.2237851768732071,0,0.4230347089469433
ISIC_1089617,0.020995186641812325,0.08156789839267731,0.10799667239189148,0.011769820936024189,0.01101533230394125,0.1512836068868637,0.17287954688072205,0.08189190924167633,0,0.07992499670945108
ISIC_0836854,0.12187241017818451,0.2777711749076843,0.03385791555047035,0.3043435215950012,0.3105541169643402,0.1344754993915558,0.13371872901916504,0.07300641387701035,0,0.17369997268542647
ISIC_5779294,0.38285964727401733,0.4660893678665161,0.06345991045236588,0.3674289584159851,0.36534976959228516,0.32175350189208984,0.07974238693714142,0.5131494998931885,0,0.31997913029044867
ISIC_9821398,0.0278415959328413,0.12025759369134903,0.0101369833573699,0.03168012946844101,0.01721177063882351,0.19691897928714752,0.24271734058856964,0.03412840515375137,0,0.08511159976478666
ISIC_8705626,0.4343205988407135,0.35807231068611145,0.08220229297876358,0.5883438587188721,0.663112461566925,0.4647858440876007,0.358847975730896,0.3416214883327484,0,0.41141335386782885
ISIC_4254754,0.14565321803092957,0.15745973587036133,0.11813116073608398,0.31441375613212585,0.3828328549861908,0.17442259192466736,0.19760358333587646,0.033855509012937546,0,0.1905465512536466
ISIC_3825762,0.02839202806353569,0.04436618462204933,0.07087735086679459,0.3985246419906616,0.5353729128837585,0.0742214173078537,0.10566739737987518,0.017108755186200142,0,0.1593163360375911
ISIC_0249269,0.009953692555427551,0.012901045382022858,0.013264784589409828,0.011219690553843975,0.0224313847720623,0.06167769804596901,0.08827071636915207,0.04520638287067413,0,0.033115674392320216
ISIC_3299556,0.12484699487686157,0.31761935353279114,0.13603027164936066,0.6842319369316101,0.6720279455184937,0.35147741436958313,0.4614594876766205,0.38028964400291443,0,0.3909978810697794
ISIC_3662337,0.23374085128307343,0.4705839455127716,0.11471958458423615,0.2712271511554718,0.3441150486469269,0.7206087708473206,0.5527200698852539,0.4577191472053528,0,0.3956793211400509
ISIC_5388493,0.168405219912529,0.06894796341657639,0.02278934232890606,0.3719159662723541,0.38400882482528687,0.11987938731908798,0.22622500360012054,0.1759624034166336,0,0.19226676388643682
ISIC_7720145,0.0054937927052378654,0.007162534166127443,0.012336762621998787,0.014257359318435192,0.013245487585663795,0.061476003378629684,0.09955134987831116,0.032623566687107086,0,0.030768357042688876
ISIC_0935859,0.17031237483024597,0.04936835542321205,0.10512939840555191,0.1809183657169342,0.2561916410923004,0.17001862823963165,0.1783805638551712,0.00983395054936409,0,0.14001915976405144
ISIC_0685154,0.17504064738750458,0.1050664633512497,0.022521767765283585,0.2866460084915161,0.4433214068412781,0.5628254413604736,0.27177566289901733,0.07160333544015884,0,0.24235009169206023
ISIC_6129219,0.09876231849193573,0.018286289647221565,0.02298545464873314,0.27789565920829773,0.4088442325592041,0.08964905142784119,0.12972821295261383,0.013407424092292786,0,0.1324448303785175
ISIC_9114776,0.02405029721558094,0.023743052035570145,0.06425894051790237,0.0962757021188736,0.1809091866016388,0.13312432169914246,0.10326945781707764,0.06453101336956024,0,0.08627024642191827
ISIC_9016941,0.26834478974342346,0.1586015224456787,0.3692218065261841,0.5398828983306885,0.5379219651222229,0.562688410282135,0.5962919592857361,0.6054750680923462,0,0.45480355247855186
ISIC_1739800,0.1940484642982483,0.15913912653923035,0.16745686531066895,0.24671092629432678,0.26871544122695923,0.08385667949914932,0.2377261221408844,0.1250772923231125,0,0.18534136470407248
ISIC_0718834,0.05045124515891075,0.04796544089913368,0.02552078664302826,0.009414270520210266,0.015700584277510643,0.09799966961145401,0.10486119985580444,0.050279513001441956,0,0.05027408874593675
ISIC_5513509,0.1093769371509552,0.04407627508044243,0.1155899241566658,0.49896925687789917,0.4458274841308594,0.2578425705432892,0.23124100267887115,0.15511076152324677,0,0.23225427651777864
ISIC_3728352,0.2946002185344696,0.3720964193344116,0.29024428129196167,0.34959936141967773,0.4716171622276306,0.4903910756111145,0.35454753041267395,0.17601731419563293,0,0.3498891703784466
ISIC_8277867,0.2817162573337555,0.23852629959583282,0.4926534593105316,0.3771475851535797,0.5059731602668762,0.22112126648426056,0.35454773902893066,0.4897342026233673,0,0.3701774962246418
ISIC_7190175,0.22202588617801666,0.2282412350177765,0.1283932477235794,0.12212768197059631,0.11282327771186829,0.026019321754574776,0.10446178913116455,0.09520656615495682,0,0.12991237570531666
ISIC_2021175,0.4082227051258087,0.08374494314193726,0.11008692532777786,0.4975445866584778,0.5383589267730713,0.6522752046585083,0.5321599245071411,0.37251368165016174,0,0.3993633622303605
ISIC_9545346,0.05515148490667343,0.19899359345436096,0.19170452654361725,0.3772570788860321,0.5137781500816345,0.04310477152466774,0.13909779489040375,0.004898938816040754,0,0.1904982923879288
ISIC_2564395,0.299822598695755,0.2535046935081482,0.17834433913230896,0.4166110157966614,0.49786365032196045,0.508850634098053,0.3699553310871124,0.013140357099473476,0,0.3172615774674341
ISIC_1972293,0.1833987981081009,0.1829833686351776,0.17045359313488007,0.11195412278175354,0.11626310646533966,0.251659631729126,0.2214321494102478,0.03399096801877022,0,0.15901696728542447
